"osm_id","linestrings"
115679385,"LINESTRING(24.0034908 35.5069035996902,24.0034128 35.5067734996902,24.0034062 35.5067488996902,24.0034003 35.5067271996902,24.0033497 35.5065573996902)"
1070762555,"LINESTRING(24.0034572 35.5065761996902,24.0034852 35.5067132996902,24.0034964 35.5067548996902,24.0034908 35.5069035996902)"
1070758958,"LINESTRING(24.0040134 35.5066732996902,24.0035869 35.5065987996902,24.0035413 35.5065908996902,24.0034572 35.5065761996902)"
1070758959,"LINESTRING(24.0034908 35.5069035996902,24.0035062 35.5069395996902,24.0035288 35.5069704996902,24.0035606 35.5069924996902)"
106105512,"LINESTRING(24.0035606 35.5069924996902,24.0037606 35.5070398996902)"
1070762554,"LINESTRING(24.0043449 35.5067255996902,24.0037843 35.5065418996902,24.0037289 35.5065237996901,24.0035809 35.5064762996901)"
1070762566,"LINESTRING(24.0037247 35.5064201996901,24.0037914 35.5064470996901,24.0038266 35.5064595996901,24.0041733 35.5065824996902,24.0043795 35.5066555996902,24.0046467 35.5067850996902,24.0043449 35.5067255996902)"
1070762567,"LINESTRING(24.0043449 35.5067255996902,24.0040134 35.5066732996902)"
164047388,"LINESTRING(24.0040134 35.5066732996902,24.0039586 35.5066958996902,24.0039443 35.5067097996902,24.0039285 35.5067344996902,24.0038172 35.5070492996902)"
640302348,"LINESTRING(24.0037606 35.5070398996902,24.0038172 35.5070492996902)"
22877647,"LINESTRING(24.0074254 35.4937781996891,24.0075289 35.4941936996891,24.0076201 35.4944349996891,24.0077246 35.4946872996892,24.0077594 35.4947762996891,24.0079433 35.4951927996892,24.0081466 35.4956044996892,24.008415 35.4961447996893,24.0086821 35.4966824996893,24.0088554 35.4969992996894,24.0088759 35.4970293996893,24.008897 35.4970470996893,24.0089201 35.4970649996894,24.0089639 35.4970912996894,24.0091292 35.4972295996894,24.0093879 35.4974297996894,24.0095828 35.4975775996894,24.0096997 35.4976680996894,24.0097972 35.4977552996894,24.009854 35.4978128996894,24.0099114 35.4978843996894,24.0099964 35.4979973996894,24.0103042 35.4983849996895,24.0103698 35.4984657996895,24.0105585 35.4986863996895,24.0107746 35.4989033996895,24.0114931 35.4996124996896,24.0118124 35.4999542996896,24.0119057 35.5000603996896,24.0121665 35.5003569996896,24.0123105 35.5005490996896,24.0127964 35.5018870996898,24.0129364 35.5022462996898,24.0131152 35.5027178996898,24.0131288 35.5027538996898,24.0133071 35.5031637996899,24.0133568 35.5032869996899,24.0135722 35.5038212996899,24.0136407 35.5039923996899)"
963756577,"LINESTRING(24.0093528 35.5018463996898,24.009397 35.5021072996898,24.0094078 35.5021564996898,24.0094198 35.5021891996898,24.0094413 35.5022219996898,24.009551 35.5023770996898)"
425635591,"LINESTRING(24.0105259 35.5015957996897,24.0103939 35.5016339996897,24.0103527 35.5016514996897,24.0103383 35.5016649996898,24.0103301 35.5016795996897,24.0103239 35.5017005996898,24.0103259 35.5017203996898,24.0103391 35.5017586996897,24.0103668 35.5018213996898,24.0104658 35.5020737996898,24.0104864 35.5021456996898,24.0105013 35.5022296996898,24.0105119 35.5023015996898,24.0105133 35.5024932996898)"
425635593,"LINESTRING(24.0057647 35.5030428996899,24.006232 35.5028726996898,24.0067041 35.5027229996898,24.0070018 35.5026498996898,24.0072902 35.5025942996898,24.00738 35.5025833996898,24.0074565 35.5025854996898,24.0079567 35.5026728996898,24.0080197 35.5026837996898,24.0083912 35.5026727996898)"
823252905,"LINESTRING(24.0072594 35.50486039969,24.0077595 35.50473729969)"
50337623,"LINESTRING(24.0088968 35.5040859996899,24.0089411 35.5023463996898)"
50337633,"LINESTRING(24.0094334 35.5023635996898,24.0094901 35.5030873996899,24.0095317 35.5036071996899,24.0095244 35.5041164996899)"
22877887,"LINESTRING(24.0080197 35.5026837996898,24.0080329 35.5023977996898,24.0080492 35.5023693996898,24.0080988 35.5023507996898,24.0089411 35.5023463996898,24.0094334 35.5023635996898,24.0095241 35.5023717996898,24.009551 35.5023770996898,24.0096181 35.5023901996898,24.0099552 35.5024610996898,24.0100223 35.5024723996898,24.0100818 35.5024807996898,24.0102926 35.5024905996898,24.0105133 35.5024932996898,24.0110586 35.5024867996898,24.0115669 35.5025013996898,24.011868 35.5031633996899,24.0121409 35.5040179996899,24.0121689 35.5041277996899)"
425635204,"LINESTRING(24.0078786 35.5040886996899,24.0079268 35.50480619969,24.0079585 35.50523409969)"
425635205,"LINESTRING(24.0084662 35.5040665996899,24.0085014 35.50479309969,24.0085101 35.50522099969)"
425635203,"LINESTRING(24.0085014 35.50479309969,24.0079268 35.50480619969)"
823256593,"LINESTRING(24.0095589 35.50458269969,24.0099618 35.50457689969)"
823256592,"LINESTRING(24.0104105 35.50457469969,24.0101061 35.50457019969)"
50337629,"LINESTRING(24.0104225 35.50414629969,24.0104105 35.50457469969,24.0104071 35.50468729969,24.010376 35.50506839969)"
371754088,"LINESTRING(24.0066043 35.50421539969,24.0063818 35.50429469969,24.0062629 35.50434269969,24.0059916 35.50445299969,24.0058039 35.50455529969,24.0056392 35.50466649969,24.0054842 35.50478989969,24.005363 35.50491099969,24.0043129 35.5060761996901)"
25636139,"LINESTRING(24.0056595 35.5071730996902,24.0073496 35.50498299969)"
425640114,"LINESTRING(24.0079826 35.5057559996901,24.007484 35.5062212996901)"
823621955,"LINESTRING(24.007484 35.5062212996901,24.0077415 35.5063959996901)"
823622295,"LINESTRING(24.0074813 35.5066993996902,24.0078836 35.5068827996902)"
425640118,"LINESTRING(24.009128 35.5055988996901,24.0083891 35.5056449996901,24.0080768 35.5056644996901,24.0079279 35.5056864996901)"
50337634,"LINESTRING(24.0076286 35.5053061996901,24.0077117 35.5052755996901,24.0079585 35.50523409969,24.0083693 35.50522459969,24.0085101 35.50522099969,24.0089457 35.50521259969,24.0092287 35.50514369969,24.0093237 35.50512059969,24.0094578 35.50508779969,24.0095746 35.50505639969,24.010376 35.50506839969)"
35829346,"LINESTRING(24.0066043 35.50421539969,24.0067691 35.50429189969,24.0067998 35.50430609969,24.0068216 35.50432479969,24.0068906 35.50440389969,24.0072594 35.50486039969,24.0073496 35.50498299969,24.0076286 35.5053061996901,24.0079279 35.5056864996901,24.0079826 35.5057559996901,24.0085968 35.5065572996902,24.0086399 35.5066139996902,24.0088589 35.5068869996902,24.0089476 35.5070442996902,24.0092455 35.5074688996902)"
823201547,"LINESTRING(24.009128 35.5055988996901,24.0086399 35.5066139996902)"
22877639,"LINESTRING(24.0094869 35.5053347996901,24.0088589 35.5068869996902)"
823201433,"LINESTRING(24.0094869 35.5053347996901,24.0099102 35.5054602996901,24.0100662 35.5055024996901)"
